feature,importance,correlation,f_score,rfe_ranking,mutual_info,rfe_score,combined_score
thal,0.9279017647508313,0.9999999999999998,1.0000000000000002,1,1.0,1.0,0.9855803529501662
ca,0.7524981358878079,0.8669858083716876,0.592035524013514,2,0.8067736522965777,0.5,0.7036586241139176
cp,0.8903194707349255,0.7804509997825126,0.4399792821143422,3,0.6946211396434439,0.3333333333333333,0.6277408451217116
thalach,1.0,0.7859065564837422,0.46386902057844553,7,0.4711101276266028,0.14285714285714285,0.5727485695091867
oldpeak,0.6602959466300465,0.8006325206662773,0.41798595768655383,12,0.4101522396779543,0.08333333333333333,0.47447999959883314
exang,0.3101796761744593,0.8154396967934779,0.4943126641160938,6,0.34280366380731137,0.16666666666666666,0.42588047351160185
slope,0.2788605210287517,0.6295813820405274,0.266804996828227,4,0.5373971440102548,0.25,0.3925288087815522
sex,0.2088846800091405,0.5044533227634048,0.2395804920553052,5,0.1227005618134886,0.2,0.2551238113282678
age,0.648325512781538,0.3967735323520685,0.102088233194345,13,0.0,0.07692307692307693,0.24482207105020568
chol,0.6482174648962157,0.12012088152534992,0.009038175177200878,10,0.340048021053661,0.1,0.2434849085304855
trestbps,0.5325764056491623,0.2517964275116781,0.038997717954284104,8,0.0,0.125,0.18967411022302488
restecg,0.06262879473951267,0.2886477773831357,0.05651240848201199,11,0.026939962247739264,0.09090909090909091,0.10512760675229811
fbs,0.0,0.0,0.0,9,0.10448335103834716,0.1111111111111111,0.043118892429891656
