Model,Type,Accuracy,F1_Score,AUC_Score
Decision Tree,Baseline,0.7377049180327869,0.7575757575757576,0.7494588744588744
K-Nearest Neighbors,Baseline,0.8852459016393442,0.8888888888888888,0.9155844155844155
Logistic Regression,Baseline,0.8524590163934426,0.8524590163934426,0.9491341991341992
Logistic Regression,Grid Search,0.8032786885245902,0.8,0.9242424242424242
Random Forest,Baseline,0.8524590163934426,0.8524590163934426,0.9383116883116883
Random Forest,Grid Search,0.8852459016393442,0.8813559322033898,0.9491341991341992
Random Forest,Randomized Search,0.9016393442622951,0.896551724137931,0.9577922077922079
SVM,Baseline,0.8360655737704918,0.8333333333333334,0.9393939393939394
XGBoost,Baseline,0.8360655737704918,0.8387096774193549,0.9199134199134199
XGBoost,Grid Search,0.8524590163934426,0.847457627118644,0.9415584415584416
XGBoost,Randomized Search,0.8688524590163934,0.8666666666666667,0.9415584415584415
